BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
2,obras\Camilo-A_Brasileira_de_Prazins.md,global,negative,913,0.015400000000000002
2,obras\Camilo-A_Brasileira_de_Prazins.md,global,neutral,58117,0.9797000000000002
2,obras\Camilo-A_Brasileira_de_Prazins.md,global,positive,913,0.0049
2,obras\Camilo-A_Brasileira_de_Prazins.md,global,compound,,-0.9200549999999998
2,obras\Camilo-A_Brasileira_de_Prazins.md,1,negative,889,0.015
2,obras\Camilo-A_Brasileira_de_Prazins.md,1,neutral,57898,0.976
2,obras\Camilo-A_Brasileira_de_Prazins.md,1,positive,889,0.008
2,obras\Camilo-A_Brasileira_de_Prazins.md,1,compound,,-0.7312
2,obras\Camilo-A_Brasileira_de_Prazins.md,2,negative,771,0.013
2,obras\Camilo-A_Brasileira_de_Prazins.md,2,neutral,58432,0.985
2,obras\Camilo-A_Brasileira_de_Prazins.md,2,positive,771,0.002
2,obras\Camilo-A_Brasileira_de_Prazins.md,2,compound,,-0.9328
2,obras\Camilo-A_Brasileira_de_Prazins.md,3,negative,889,0.015
2,obras\Camilo-A_Brasileira_de_Prazins.md,3,neutral,58372,0.984
2,obras\Camilo-A_Brasileira_de_Prazins.md,3,positive,889,0.001
2,obras\Camilo-A_Brasileira_de_Prazins.md,3,compound,,-0.9857
2,obras\Camilo-A_Brasileira_de_Prazins.md,4,negative,830,0.014
2,obras\Camilo-A_Brasileira_de_Prazins.md,4,neutral,58135,0.98
2,obras\Camilo-A_Brasileira_de_Prazins.md,4,positive,830,0.006
2,obras\Camilo-A_Brasileira_de_Prazins.md,4,compound,,-0.9782
2,obras\Camilo-A_Brasileira_de_Prazins.md,5,negative,1008,0.017
2,obras\Camilo-A_Brasileira_de_Prazins.md,5,neutral,58313,0.983
2,obras\Camilo-A_Brasileira_de_Prazins.md,5,positive,1008,0.0
2,obras\Camilo-A_Brasileira_de_Prazins.md,5,compound,,-0.9695
2,obras\Camilo-A_Brasileira_de_Prazins.md,6,negative,949,0.016
2,obras\Camilo-A_Brasileira_de_Prazins.md,6,neutral,58254,0.982
2,obras\Camilo-A_Brasileira_de_Prazins.md,6,positive,949,0.002
2,obras\Camilo-A_Brasileira_de_Prazins.md,6,compound,,-0.9724
2,obras\Camilo-A_Brasileira_de_Prazins.md,7,negative,474,0.008
2,obras\Camilo-A_Brasileira_de_Prazins.md,7,neutral,58669,0.989
2,obras\Camilo-A_Brasileira_de_Prazins.md,7,positive,474,0.003
2,obras\Camilo-A_Brasileira_de_Prazins.md,7,compound,,-0.8453
2,obras\Camilo-A_Brasileira_de_Prazins.md,8,negative,771,0.013
2,obras\Camilo-A_Brasileira_de_Prazins.md,8,neutral,58076,0.979
2,obras\Camilo-A_Brasileira_de_Prazins.md,8,positive,771,0.008
2,obras\Camilo-A_Brasileira_de_Prazins.md,8,compound,,-0.8089
2,obras\Camilo-A_Brasileira_de_Prazins.md,9,negative,771,0.013
2,obras\Camilo-A_Brasileira_de_Prazins.md,9,neutral,58313,0.983
2,obras\Camilo-A_Brasileira_de_Prazins.md,9,positive,771,0.004
2,obras\Camilo-A_Brasileira_de_Prazins.md,9,compound,,-0.9691
2,obras\Camilo-A_Brasileira_de_Prazins.md,10,negative,1127,0.019
2,obras\Camilo-A_Brasileira_de_Prazins.md,10,neutral,57898,0.976
2,obras\Camilo-A_Brasileira_de_Prazins.md,10,positive,1127,0.006
2,obras\Camilo-A_Brasileira_de_Prazins.md,10,compound,,-0.9937
2,obras\Camilo-A_Brasileira_de_Prazins.md,11,negative,593,0.01
2,obras\Camilo-A_Brasileira_de_Prazins.md,11,neutral,58669,0.989
2,obras\Camilo-A_Brasileira_de_Prazins.md,11,positive,593,0.001
2,obras\Camilo-A_Brasileira_de_Prazins.md,11,compound,,-0.982
2,obras\Camilo-A_Brasileira_de_Prazins.md,12,negative,711,0.012
2,obras\Camilo-A_Brasileira_de_Prazins.md,12,neutral,58550,0.987
2,obras\Camilo-A_Brasileira_de_Prazins.md,12,positive,711,0.001
2,obras\Camilo-A_Brasileira_de_Prazins.md,12,compound,,-0.9629
2,obras\Camilo-A_Brasileira_de_Prazins.md,13,negative,949,0.016
2,obras\Camilo-A_Brasileira_de_Prazins.md,13,neutral,57779,0.974
2,obras\Camilo-A_Brasileira_de_Prazins.md,13,positive,949,0.01
2,obras\Camilo-A_Brasileira_de_Prazins.md,13,compound,,-0.8089
2,obras\Camilo-A_Brasileira_de_Prazins.md,14,negative,949,0.016
2,obras\Camilo-A_Brasileira_de_Prazins.md,14,neutral,57898,0.976
2,obras\Camilo-A_Brasileira_de_Prazins.md,14,positive,949,0.008
2,obras\Camilo-A_Brasileira_de_Prazins.md,14,compound,,-0.9603
2,obras\Camilo-A_Brasileira_de_Prazins.md,15,negative,949,0.016
2,obras\Camilo-A_Brasileira_de_Prazins.md,15,neutral,58372,0.984
2,obras\Camilo-A_Brasileira_de_Prazins.md,15,positive,949,0.001
2,obras\Camilo-A_Brasileira_de_Prazins.md,15,compound,,-0.9952
2,obras\Camilo-A_Brasileira_de_Prazins.md,16,negative,771,0.013
2,obras\Camilo-A_Brasileira_de_Prazins.md,16,neutral,58550,0.987
2,obras\Camilo-A_Brasileira_de_Prazins.md,16,positive,771,0.0
2,obras\Camilo-A_Brasileira_de_Prazins.md,16,compound,,-0.982
2,obras\Camilo-A_Brasileira_de_Prazins.md,17,negative,1245,0.021
2,obras\Camilo-A_Brasileira_de_Prazins.md,17,neutral,57898,0.976
2,obras\Camilo-A_Brasileira_de_Prazins.md,17,positive,1245,0.004
2,obras\Camilo-A_Brasileira_de_Prazins.md,17,compound,,-0.9778
2,obras\Camilo-A_Brasileira_de_Prazins.md,18,negative,1364,0.023
2,obras\Camilo-A_Brasileira_de_Prazins.md,18,neutral,56949,0.96
2,obras\Camilo-A_Brasileira_de_Prazins.md,18,positive,1364,0.017
2,obras\Camilo-A_Brasileira_de_Prazins.md,18,compound,,-0.6057
2,obras\Camilo-A_Brasileira_de_Prazins.md,19,negative,830,0.014
2,obras\Camilo-A_Brasileira_de_Prazins.md,19,neutral,58194,0.981
2,obras\Camilo-A_Brasileira_de_Prazins.md,19,positive,830,0.004
2,obras\Camilo-A_Brasileira_de_Prazins.md,19,compound,,-0.9579
2,obras\Camilo-A_Brasileira_de_Prazins.md,20,negative,1423,0.024
2,obras\Camilo-A_Brasileira_de_Prazins.md,20,neutral,57127,0.963
2,obras\Camilo-A_Brasileira_de_Prazins.md,20,positive,1423,0.012
2,obras\Camilo-A_Brasileira_de_Prazins.md,20,compound,,-0.9816
